reference,pad,actual_net,symbol_alias
U101,55,/pad_24,pad_24_55
U101,56,/pad_23,pad_23_56
U101,57,/pad_22,pad_22_57
U101,58,/pad_21,pad_21_58
U101,59,/pad_20,pad_20_59
U101,60,/pad_19,pad_19_60
U101,61,GND,GND_61
U101,62,VDD_IO_0,VDD_IO_62
U101,63,/pad_16,pad_16_63
U101,64,/pad_15,pad_15_64
U101,65,/pad_14,pad_14_65
U101,66,/pad_13,pad_13_66
U101,67,/pad_12,pad_12_67
U101,68,/pad_11,pad_11_68
U101,69,/pad_10,pad_10_69
U101,70,/pad_9,pad_9_70
U101,MP,GND,MP_MP
U101,MP,GND,MP_MP
U101,MP,GND,MP_MP
U101,MP,GND,MP_MP
